params,mae,rmse,pearson_r,f1_binary
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}",1.1427466666666666,1.3441750878016847,0.16844151704872246,0.5814977973568282
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 5}",1.1380639592599808,1.3319871892307884,0.19416487072957503,0.6123348017621146
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 10}",1.137456482475104,1.3305929224724216,0.19284697667619372,0.6268656716417911
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 1}",1.1346625456414001,1.3284332125459248,0.20029664022395524,0.6260504201680673
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",1.135616911583797,1.3297271622716285,0.19533891260103134,0.6454352441613589
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 10}",1.1363948989621768,1.3291177895064528,0.19610214570738146,0.638655462184874
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_leaf': 1}",1.1391552117202233,1.3380969702834933,0.18447764992252827,0.5934065934065934
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_leaf': 5}",1.1382123778826598,1.3318186696182486,0.19448582995737512,0.6061946902654867
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_leaf': 10}",1.1372716437987727,1.3303838146740607,0.19347052358934974,0.6297872340425531
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1}",1.1399066666666668,1.333884377797916,0.19361353503589934,0.5947136563876652
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 5}",1.140842664392412,1.331575669436718,0.19327305222617097,0.6184210526315789
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 10}",1.1378906796727222,1.3292214906443027,0.19648917251671913,0.6160520607375272
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",1.1359566691012257,1.3252467828745325,0.20908581120305736,0.6257928118393234
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 5}",1.1362128469076005,1.327127069980061,0.20275025926317827,0.6268656716417911
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 10}",1.136969200198934,1.3283570142988042,0.1979194439626974,0.6268656716417911
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 1}",1.1402732163226885,1.3324400529044365,0.1977066402751509,0.5995623632385121
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 5}",1.1409492609827738,1.3314164926455787,0.19369745530385576,0.6170678336980306
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 10}",1.1378006727447982,1.3291478929635658,0.1967073212926654,0.6160520607375272
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 1}",1.1441599999999998,1.3340396235994392,0.1908597187591048,0.6043478260869565
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 5}",1.13920090427725,1.3291518584144084,0.19950163554005942,0.6130434782608695
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 10}",1.1396678695690448,1.329710412359045,0.19507189520075835,0.6209850107066381
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 1}",1.1379584786697488,1.3252350128536103,0.2083192832184905,0.6260504201680673
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 5}",1.1374245290620564,1.3262353602528307,0.20478207343679367,0.6342494714587738
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 10}",1.1392016946160755,1.3287515354962258,0.19687468683523585,0.6300211416490487
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 1}",1.1424993196835576,1.3309694449106977,0.19912080865483608,0.6147186147186148
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 5}",1.139588958060402,1.3294357130704435,0.19859737147945788,0.6117136659436009
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 10}",1.1396577837412445,1.3297050245156083,0.19508752149193292,0.6209850107066381
