params,mae,rmse,pearson_r,f1_binary
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}",0.5989599999999999,0.6838504709851904,0.8630292183699657,0.8769574944071589
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 5}",0.597128306730274,0.680534267938818,0.8645119921138708,0.8769574944071589
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 10}",0.5937831557760614,0.6749630190456142,0.8670063456603934,0.8769574944071589
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 1}",0.5957176198770517,0.6787655628934749,0.8653096746801673,0.8769574944071589
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",0.5933161330905359,0.6754522078838651,0.8667607834766708,0.8769574944071589
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 10}",0.5934718417946887,0.6749081309835786,0.8670267247951098,0.8769574944071589
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_leaf': 1}",0.5992496363654352,0.6842964264146405,0.8628609759964323,0.8769574944071589
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_leaf': 5}",0.5972656934010918,0.6809093379449288,0.8643534474019063,0.8769574944071589
"{'n_estimators': 100, 'max_depth': 20, 'min_samples_leaf': 10}",0.5937831557760614,0.6749630190456142,0.8670063456603933,0.8769574944071589
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1}",0.59696,0.6803152210556516,0.8646078932293844,0.8769574944071589
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 5}",0.5944108925584888,0.6765934116571029,0.8662653277497302,0.8769574944071589
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 10}",0.5939077724472328,0.6743709635248131,0.8672941621151651,0.8769574944071589
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",0.5943849064621504,0.6763360031394782,0.8663967364553824,0.8769574944071589
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 5}",0.5921546949017892,0.6737020512584863,0.8675485686792569,0.8769574944071589
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 10}",0.5930315726532183,0.6738216889746765,0.8675423592446182,0.8769574944071589
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 1}",0.5966464837449389,0.6794135229652065,0.8650324268660455,0.8769574944071589
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 5}",0.5943712390745096,0.6765928761439259,0.866266325619808,0.8769574944071589
"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 10}",0.5939077724472328,0.6743709635248131,0.8672941621151651,0.8769574944071589
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 1}",0.594656,0.6754751887868766,0.8667991079716759,0.8769574944071589
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 5}",0.5943265271063038,0.6760666123380278,0.8665911790836212,0.8769574944071589
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 10}",0.594134283795294,0.6743866425320478,0.8673075460220854,0.8769574944071589
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 1}",0.5935689312605903,0.6755160924591324,0.8668066501852549,0.8769574944071589
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 5}",0.5928082483784889,0.6745360587695913,0.8672473789225026,0.8769574944071589
"{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 10}",0.5937430054039042,0.6743624062037817,0.8673130352532562,0.8769574944071589
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 1}",0.5941553117532653,0.6748133413588315,0.8670994339333057,0.8769574944071589
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 5}",0.5941274147589483,0.6759215739002437,0.8666549835932693,0.8769574944071589
"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 10}",0.5941342837952941,0.6743866425320478,0.8673075460220854,0.8769574944071589
